藏,书名,题材,朝代,页数,推荐优先级,知名度,理由
史藏,列女传,人物传记,汉,4,高,高,刘向名著，女性故事经典流传广
史藏,郑成功传,人物传记,清,13,高,高,郑成功收台抗清，英雄事迹知名
佛藏,佛说九色鹿经,佛教故事,魏晋南北朝,1,高,高,九色鹿本生，敦煌壁画名故事广为人知
佛藏,佛说九色鹿经,佛教故事,魏晋南北朝,1,高,高,九色鹿本生，敦煌壁画名故事广为人知
佛藏,佛说盂兰盆经,佛教故事,魏晋南北朝,1,高,高,目连救母盂兰盆源头，中元节家喻户晓
佛藏,佛说盂兰盆经,佛教故事,魏晋南北朝,1,高,高,目连救母盂兰盆源头，中元节家喻户晓
佛藏,佛说维摩诘经,佛教故事,魏晋南北朝,3,高,高,维摩诘居士经典，文学影响深远
佛藏,大唐西域记,佛教故事,隋唐,10,高,高,玄奘西域见闻名著故事性强
佛藏,大唐西域记,佛教故事,隋唐,8,高,高,玄奘西域见闻名著故事性强
佛藏,洛阳伽蓝记,佛教故事,魏晋南北朝,2,高,高,记洛阳寺庙掌故名著文学性强
诗藏,元曲选,戏曲剧本,元,133,高,高,臧懋循辑元杂剧精华，名剧荟萃地位极高
诗藏,六十种曲琵琶记,戏曲剧本,元,12,高,高,高明南戏之祖，赵五娘故事地位极高
诗藏,六十种曲西厢记,戏曲剧本,元,9,高,高,王实甫崔张爱情名剧，地位极高广为人知
诗藏,六十种曲还魂记,戏曲剧本,明,15,高,高,即牡丹亭杜丽娘还魂，名剧地位极高
诗藏,关大王独赴单刀会,戏曲剧本,元,3,高,高,关汉卿名剧，关羽单刀赴会脍炙人口
诗藏,桃花扇,戏曲剧本,清,15,高,高,孔尚任名剧，侯李兴亡爱情地位极高
诗藏,牡丹亭,戏曲剧本,明,8,高,高,汤显祖至情名剧，杜丽娘还魂地位极高
诗藏,破幽梦孤雁汉宫秋,戏曲剧本,元,2,高,高,马致远名剧，昭君出塞故事经典
诗藏,窦娥冤,戏曲剧本,元,1,高,高,关汉卿悲剧巅峰，六月飞雪家喻户晓
诗藏,西厢记,戏曲剧本,元,14,高,高,王实甫崔张爱情名剧，地位极高广为人知
诗藏,赵氏孤儿大报仇,戏曲剧本,元,2,高,高,纪君祥悲剧名作，赵氏孤儿故事经典
诗藏,赵盼儿风月救风尘,戏曲剧本,元,2,高,高,关汉卿名剧，妓女智斗故事生动诙谐
诗藏,长生殿,戏曲剧本,清,19,高,高,洪昇名剧，李杨爱情兴亡地位极高
诗藏,雷峰塔,戏曲剧本,清,12,高,高,白蛇传定本，水漫金山故事家喻户晓
史藏,西京杂记,文言小说,魏晋南北朝,3,高,高,记西汉宫廷轶事，名著故事生动
子藏,剪灯新话,文言小说,明,5,高,高,明代文言传奇名作，影响东亚深远
子藏,太平广记,文言小说,宋,228,高,高,古小说总集，志怪传奇宝库地位极高
子藏,太平广记,文言小说,宋,323,高,高,古小说总集，志怪传奇宝库地位极高
子藏,子不语,文言小说,清,46,高,高,袁枚志怪名作，故事诙谐知名度高
子藏,李娃传,文言小说,隋唐,1,高,高,唐传奇名篇，爱情故事经典动人
子藏,虬髯客传,文言小说,隋唐,1,高,高,唐传奇豪侠经典，风尘三侠故事脍炙人口
集藏,唐传奇选辑,文言小说,隋唐,3,高,高,唐传奇精选，文言小说巅峰
集藏,聊斋志异,文言小说,清,40,高,高,文言志怪巅峰，必译经典
史藏,山海经,神话寓言,先秦,9,高,高,上古神话总汇，奇幻名著流传极广
子藏,山海经,神话寓言,先秦,9,高,高,上古神话地理奇书，影响深远知名度极高
道藏,山海经,神话寓言,先秦,15,高,高,上古神话总集，奇想丰富大众熟知
集藏,三侠五义,章回小说,清,24,高,高,侠义公案经典，包公展昭家喻户晓
集藏,三国志通俗演义嘉靖壬午本,章回小说,明,88,高,高,三国演义最早刊本，地位极高
集藏,三国演义,章回小说,明,40,高,高,四大名著，家喻户晓必译
集藏,东周列国志,章回小说,清,146,高,高,列国历史演义经典，流传广泛
集藏,二十年目睹之怪现状,章回小说,清,33,高,高,晚清四大谴责小说之一
集藏,儒林外史,章回小说,清,14,高,高,讽刺小说巅峰，文学地位极高
集藏,儿女英雄传,章回小说,清,28,高,高,侠义言情经典，十三妹深入人心
集藏,孽海花,章回小说,清,6,高,高,晚清四大谴责小说之一
集藏,官场现行记,章回小说,清,22,高,高,晚清四大谴责小说之一
集藏,封神演义,章回小说,明,56,高,高,神魔小说经典，封神题材家喻户晓
集藏,杨乃武与小白菜,章回小说,清,8,高,高,清末四大奇案，家喻户晓故事强
集藏,杨家将传,章回小说,明,11,高,高,杨家将忠勇故事流传极广
集藏,水浒传,章回小说,明,50,高,高,四大名著，故事经典必译
集藏,江湖奇侠传,章回小说,民国,28,高,高,平江不肖生武侠名作，影响大
集藏,济公全传,章回小说,清,12,高,高,济公故事家喻户晓趣味十足
集藏,牛郎织女传,章回小说,明,3,高,高,牛郎织女传说家喻户晓
集藏,狄公案,章回小说,清,6,高,高,狄仁杰公案，因高罗佩广为人知
集藏,红楼梦,章回小说,清,31,高,高,四大名著之首，必译经典
集藏,老残游记,章回小说,清,6,高,高,晚清四大谴责小说，文笔佳
集藏,脂砚斋全评石头记,章回小说,清,29,高,高,红楼脂评本，研究价值极高
集藏,薛丁山征西,章回小说,清,12,高,高,薛家将征西故事流传广
集藏,薛仁贵征东,章回小说,清,11,高,高,薛仁贵征东家喻户晓
集藏,西游记,章回小说,明,34,高,高,四大名著，必译经典
集藏,说唐,章回小说,清,10,高,高,说唐英雄故事流传极广
集藏,说岳全传,章回小说,清,29,高,高,岳飞演义，家喻户晓爱国题材
集藏,金圣叹批评本水浒传,章回小说,明,29,高,高,金批水浒经典，必读评本
集藏,金瓶梅,章回小说,明,34,高,高,世情小说巅峰，文学地位极高
集藏,金瓶梅词话万历本,章回小说,明,72,高,高,金瓶梅词话本，最重要版本
集藏,镜花缘,章回小说,清,32,高,高,清代奇幻名著，想象瑰丽
集藏,隋唐演义,章回小说,清,37,高,高,隋唐英雄演义经典，流传广
集藏,雷峰塔奇传,章回小说,清,4,高,高,白蛇传题材，家喻户晓
史藏,博物志,笔记小说,魏晋南北朝,6,高,高,张华名著，博物志怪流传甚广
史藏,大唐西域记,笔记小说,隋唐,28,高,高,玄奘西行实录，西游记原型名著
史藏,徐霞客游记,笔记小说,明,13,高,高,徐霞客探险游记，地理名著流传广
史藏,晏子春秋,笔记小说,先秦,8,高,高,晏子谏言故事经典，机智流传广
子藏,世说新语,笔记小说,魏晋南北朝,11,高,高,志人笔记典范，名段众多影响深远
子藏,搜神记,笔记小说,魏晋南北朝,6,高,高,志怪小说鼻祖，名篇众多知名度极高
子藏,酉阳杂俎,笔记小说,隋唐,13,高,高,段成式奇书博物志怪，包罗万象趣味浓
子藏,阅微草堂笔记,笔记小说,清,26,高,高,纪昀志怪名著，故事隽永地位极高
道藏,搜神记,笔记小说,魏晋南北朝,6,高,高,志怪小说鼻祖，故事生动地位高
集藏,笑林广记,笔记小说,清,26,高,高,经典笑话集，流传极广
集藏,二刻拍案惊奇,话本拟话本,明,22,高,高,二拍之一，凌濛初拟话本经典
集藏,今古奇观,话本拟话本,明,37,高,高,三言二拍精选集，流传最广
集藏,初刻拍案惊奇,话本拟话本,明,18,高,高,二拍之一，凌濛初拟话本经典
集藏,包公案,话本拟话本,明,35,高,高,包公断案故事集，家喻户晓
集藏,喻世明言,话本拟话本,明,73,高,高,三言之一，冯梦龙白话经典
集藏,警世通言,话本拟话本,明,37,高,高,三言之一，白话短篇经典
集藏,醒世恒言,话本拟话本,明,32,高,高,三言之一，白话短篇经典
集藏,龙图公案,话本拟话本,明,8,高,高,包公断案公案名作流传广故事性强
史藏,古列女传,人物传记,汉,6,高,中,刘向列女故事经典，可读性强
史藏,唐才子传,人物传记,元,6,高,中,辛文房记唐诗人，传记生动可读
佛藏,佛所行赞,佛教故事,魏晋南北朝,48,高,中,马鸣所撰佛传长诗，文学地位高
佛藏,佛所行赞经,佛教故事,魏晋南北朝,47,高,中,马鸣所撰佛传长诗，文学地位高
佛藏,佛本行经,佛教故事,魏晋南北朝,53,高,中,完整佛传叙事，篇幅宏大可读性强
佛藏,佛本行经,佛教故事,魏晋南北朝,54,高,中,完整佛传叙事，篇幅宏大可读性强
佛藏,佛本行集经,佛教故事,隋唐,59,高,中,最详佛传集成，叙事丰富
佛藏,佛本行集经,佛教故事,隋唐,70,高,中,最详佛传集成，叙事丰富
佛藏,佛说普曜经,佛教故事,魏晋南北朝,20,高,中,佛传神变叙事详备，可读性强
佛藏,佛说睒子经,佛教故事,魏晋南北朝,1,高,中,睒子至孝本生，壁画戏曲流传广
佛藏,佛说睒子经,佛教故事,魏晋南北朝,1,高,中,睒子至孝本生，壁画戏曲流传广
佛藏,佛说菩萨投身饴饿虎起塔因缘经,佛教故事,魏晋南北朝,1,高,中,萨埵舍身饲虎本生，名故事流传广
佛藏,佛说菩萨睒子经,佛教故事,魏晋南北朝,1,高,中,睒子至孝本生异本，流传广
佛藏,佛说鬼子母经,佛教故事,魏晋南北朝,1,高,中,鬼子母失子故事，民俗信仰流传广
佛藏,佛说鬼子母经,佛教故事,魏晋南北朝,1,高,中,鬼子母失子故事，民俗信仰流传广
佛藏,大唐大慈恩寺三藏法师传,佛教故事,隋唐,3,高,中,玄奘传记取经原型故事性强
佛藏,大慈恩寺三藏法师传,佛教故事,隋唐,2,高,中,玄奘传记取经原型故事性强
佛藏,大慈恩寺三藏法师传,佛教故事,隋唐,2,高,中,玄奘传记取经原型故事性强
佛藏,大目乾连冥间救母变文并图,佛教故事,隋唐,5,高,中,目连救母变文戏曲源头故事性强
佛藏,敦煌变文集新书,佛教故事,隋唐,48,高,中,敦煌变文俗文学源头故事性强
佛藏,法显传,佛教故事,魏晋南北朝,1,高,中,法显西行佛国记游记名著故事性强
佛藏,法显传,佛教故事,魏晋南北朝,1,高,中,法显西行佛国记游记名著故事性强
佛藏,法苑珠林,佛教故事,隋唐,161,高,中,佛教类书故事感应荟萃可读性强
佛藏,百喻经,佛教故事,魏晋南北朝,3,高,中,譬喻寓言诙谐易读大众性强
佛藏,百喻经,佛教故事,魏晋南北朝,5,高,中,譬喻寓言诙谐易读大众性强
诗藏,全元曲,戏曲剧本,元,532,高,中,元曲总集卷帙浩繁，文学价值高但庞大
诗藏,全元曲戏文,戏曲剧本,元,96,高,中,元代戏文全集，戏曲源头价值高但偏专
诗藏,全元曲杂剧,戏曲剧本,元,296,高,中,元杂剧全集，名剧汇编价值高但浩繁
诗藏,六十种曲南柯记,戏曲剧本,明,11,高,中,汤显祖临川四梦之一，名剧梦幻寓意深
诗藏,六十种曲幽闺记,戏曲剧本,元,9,高,中,拜月亭名剧，乱世爱情故事经典
诗藏,六十种曲杀狗记,戏曲剧本,明,17,高,中,四大南戏之一，劝善家庭剧地位高
诗藏,六十种曲浣纱记,戏曲剧本,明,11,高,中,西施范蠡名剧，吴越春秋故事经典
诗藏,六十种曲狮吼记,戏曲剧本,明,12,高,中,陈季常惧内名剧，河东狮吼诙谐知名
诗藏,六十种曲玉簪记,戏曲剧本,明,8,高,中,陈妙常潘必正名剧，道姑爱情故事佳
诗藏,六十种曲白兔记,戏曲剧本,元,10,高,中,四大南戏之一，刘知远传奇故事经典
诗藏,六十种曲紫钗记,戏曲剧本,明,15,高,中,汤显祖临川四梦之一，霍小玉故事佳
诗藏,六十种曲红拂记,戏曲剧本,明,7,高,中,红拂虬髯客名剧，风尘三侠故事经典
诗藏,六十种曲绣襦记,戏曲剧本,明,10,高,中,李娃传改编名剧，妓女书生故事经典
诗藏,六十种曲荆钗记,戏曲剧本,元,11,高,中,四大南戏之一，王十朋钱玉莲故事经典
诗藏,六十种曲邯郸记,戏曲剧本,明,8,高,中,汤显祖临川四梦之一，黄粱梦寓意深
诗藏,六十种曲青衫记,戏曲剧本,明,6,高,中,白居易琵琶行改编，江州司马故事知名
诗藏,六十种曲鸣凤记,戏曲剧本,明,11,高,中,写严嵩奸党时事名剧，忠奸斗争故事佳
诗藏,娇红记,戏曲剧本,明,14,高,中,孟称舜爱情悲剧名作，殉情故事感人
诗藏,幽闺记,戏曲剧本,元,10,高,中,即拜月亭，乱世爱情名剧故事经典
诗藏,张协状元,戏曲剧本,宋,7,高,中,现存最早南戏，负心题材戏曲史价值高
诗藏,梁山泊同窗琴书记,戏曲剧本,明,14,高,中,梁祝故事传奇，化蝶传说广为人知
诗藏,清忠谱,戏曲剧本,清,6,高,中,李玉写五人墓时事名剧，市民抗暴故事佳
诗藏,白朴元曲集,戏曲剧本,元,1,高,中,白朴含梧桐雨等名剧，元曲大家但篇集
诗藏,盛明杂剧初集二集,戏曲剧本,明,92,高,中,明杂剧名作总集，文学价值高但庞大
诗藏,精忠旗,戏曲剧本,明,7,高,中,岳飞精忠故事名剧，忠奸题材感人
诗藏,荆釵记,戏曲剧本,元,11,高,中,四大南戏之一，王十朋故事经典重收
史藏,大业拾遗记,文言小说,隋唐,1,高,中,记隋炀帝荒淫，宫闱传奇生动
史藏,燕丹子,文言小说,汉,1,高,中,记荆轲刺秦前传，复仇传奇生动
史藏,裴子语林,文言小说,魏晋南北朝,4,高,中,裴启志人小说，世说先驱逸闻可读
子藏,剪灯余话,文言小说,明,23,高,中,仿剪灯新话传奇集，言情志怪可读性高
子藏,博物志,文言小说,魏晋南北朝,6,高,中,张华博物奇书，神话异闻流传广
子藏,夷坚志,文言小说,宋,21,高,中,洪迈志怪巨编，故事繁富地位高
子藏,夷坚志全集,文言小说,宋,36,高,中,洪迈志怪全集，故事繁富地位高
子藏,杨太真外传,文言小说,宋,1,高,中,杨贵妃传奇故事，题材知名动人
子藏,柳氏传,文言小说,隋唐,1,高,中,唐传奇名篇，章台柳爱情故事动人
子藏,游仙窟,文言小说,隋唐,3,高,中,张鷟唐传奇，骈俪艳情独具特色
子藏,虞初新志,文言小说,清,15,高,中,张潮辑明清传奇小品，名篇荟萃故事佳
子藏,飞燕外传,文言小说,汉,1,高,中,赵飞燕宫闱艳传，香艳故事流传久远
子藏,骗经,文言小说,明,11,高,中,张应俞杜骗新书，市井骗术故事生动
集藏,古小说钩沉,文言小说,民国,16,高,中,鲁迅辑佚古小说，文献价值高
集藏,淞隐漫录,文言小说,清,41,高,中,王韬仿聊斋名作，文言佳构
史藏,穆天子传,神话寓言,先秦,1,高,中,周穆王西游会西王母，神话名篇
子藏,穆天子传,神话寓言,先秦,1,高,中,先秦穆王西游神话，奇书地位高故事奇
子藏,艾子杂说,神话寓言,宋,1,高,中,托名东坡的寓言笑话集，诙谐有趣
道藏,北游记,章回小说,明,3,高,中,四游记之一，真武故事可读性强
道藏,南游记,章回小说,明,2,高,中,四游记之一，华光故事可读性强
集藏,何典,章回小说,清,7,高,中,鬼话讽刺奇书，语言诙谐独特
集藏,再生缘,章回小说,清,164,高,中,弹词名著，孟丽君故事文学价值高
集藏,大宋中兴通俗演义岳王传,章回小说,明,22,高,中,岳飞传演义，民族英雄题材
集藏,平山冷燕,章回小说,清,11,高,中,四才子书之一，才子佳人代表
集藏,文明小史,章回小说,清,11,高,中,李伯元谴责小说，反映时代
集藏,施公案,章回小说,清,60,高,中,经典公案侠义小说，故事性强可读
集藏,木兰奇女传,章回小说,清,8,高,中,花木兰题材家喻户晓有吸引力
集藏,杨家府世代忠勇通俗演义,章回小说,明,11,高,中,杨家将系统演义，故事性强
集藏,歧路灯,章回小说,清,41,高,中,清代教育世情名著，叙事扎实
集藏,水浒古本,章回小说,明,21,高,中,水浒古本系统，价值高
集藏,水浒后传,章回小说,清,10,高,中,水浒续书中佳作，故事连贯
集藏,济颠大师醉菩提全传,章回小说,明,15,高,中,济公早期全传，故事生动
集藏,简本水浒传水浒忠义志传,章回小说,明,50,高,中,水浒简本系统，文献价值高
集藏,绿牡丹,章回小说,清,12,高,中,经典侠义小说，故事性强
集藏,绿野仙踪,章回小说,清,41,高,中,清代神魔世情名著，叙事丰富
集藏,老残游记续集,章回小说,清,4,高,中,老残游记续篇，文笔延续
集藏,英烈传,章回小说,明,11,高,中,朱元璋开国演义，故事性强
集藏,荡寇志,章回小说,清,22,高,中,水浒著名续书，结构完整
集藏,薛刚反唐,章回小说,清,10,高,中,薛家将反唐故事流传广
集藏,西游记传,章回小说,明,6,高,中,西游记早期简本，文献价值高
集藏,西游记百回详注,章回小说,明,18,高,中,西游记详注本，研读价值
集藏,西游记补,章回小说,明,30,高,中,西游著名续书，想象奇绝
集藏,说唐三传,章回小说,清,16,高,中,说唐系列薛家将，故事性强
集藏,说唐后传,章回小说,清,15,高,中,说唐后传罗通，故事流传广
集藏,醒世姻缘传,章回小说,清,41,高,中,清代世情名著，写实生动
儒藏,新序,笔记小说,汉,3,高,中,刘向历史故事集说理生动可读性强
儒藏,说苑,笔记小说,汉,8,高,中,刘向历史轶事集故事生动可读性强
史藏,万历野获编,笔记小说,明,86,高,中,明代掌故笔记内容丰富可读性强
史藏,佛国记,笔记小说,魏晋南北朝,2,高,中,法显西行求法记，名著兼游记可读
史藏,北梦琐言,笔记小说,五代,5,高,中,孙光宪名著，晚唐五代逸事生动
史藏,北里志,笔记小说,隋唐,1,高,中,孙棨记长安平康妓事，名作有趣味
史藏,南村辍耕录,笔记小说,元,16,高,中,陶宗仪名著，元代社会百态丰富
史藏,安禄山事迹,笔记小说,隋唐,5,高,中,记安禄山始末，安史之乱题材强
史藏,开元天宝遗事,笔记小说,五代,5,高,中,记唐玄宗盛世逸事，宫廷故事生动
史藏,归田录,笔记小说,宋,3,高,中,欧阳修记朝野轶事，名家笔记可读
史藏,影梅庵忆语,笔记小说,清,1,高,中,冒襄忆董小宛，深情忆语名篇
史藏,扬州画舫录,笔记小说,清,34,高,中,李斗记扬州繁华，风物名著可读
史藏,朝野佥载,笔记小说,隋唐,11,高,中,张鷟记唐代朝野怪谈，趣味生动
史藏,癸辛杂识,笔记小说,宋,11,高,中,周密记宋末元初见闻，内容生动丰富
史藏,陶庵梦忆,笔记小说,明,5,高,中,张岱小品名作，文笔优美富生活情趣
子藏,东坡志林,笔记小说,宋,11,高,中,苏轼随笔小品，机趣横生可读性高
子藏,启颜录,笔记小说,隋唐,2,高,中,古代笑话集，诙谐通俗易读
子藏,夜航船,笔记小说,明,115,高,中,张岱百科式趣谈，知识掌故妙趣横生
子藏,幽明录,笔记小说,魏晋南北朝,3,高,中,刘义庆志怪要籍，名篇多地位高
子藏,开元天宝遗事,笔记小说,五代,4,高,中,唐玄宗朝逸事，掌故知名传播广
子藏,情史,笔记小说,明,74,高,中,冯梦龙情爱故事总集，题材广可读性高
子藏,拾遗记,笔记小说,魏晋南北朝,4,高,中,王嘉志怪名著，神异瑰丽流传广
子藏,搜神后记,笔记小说,魏晋南北朝,2,高,中,续搜神记志怪集，名篇多地位高
子藏,智囊全集,笔记小说,明,10,高,中,冯梦龙智谋故事集，实用有趣传播广
子藏,板桥杂记,笔记小说,清,3,高,中,余怀记秦淮名妓风月，文美知名
子藏,玄怪录,笔记小说,隋唐,5,高,中,牛僧孺唐传奇集，志怪名篇地位高
子藏,续子不语,笔记小说,清,14,高,中,袁枚志怪续编，故事生动延续名作
子藏,续齐谐记,笔记小说,魏晋南北朝,1,高,中,六朝志怪含牛郎织女等名篇，故事经典
子藏,西京杂记,笔记小说,魏晋南北朝,3,高,中,汉宫遗事含昭君故事，掌故经典可读
子藏,述异记,笔记小说,魏晋南北朝,1,高,中,任昉志怪含盘古等神话，奇闻经典
集藏,笑典,笔记小说,历代汇编,39,高,中,历代笑话汇编，趣味强易读
集藏,笑林,笔记小说,魏晋南北朝,1,高,中,最早笑话专集，文学史地位高
儒藏,杜骗新书,话本拟话本,明,9,高,中,明代骗术案例集题材新奇可读性强
史藏,大宋宣和遗事,话本拟话本,宋,6,高,中,水浒源头话本，梁山故事可读
史藏,醉翁谈录,话本拟话本,宋,3,高,中,罗烨记宋代话本及艳情故事，可读
子藏,西湖佳话,话本拟话本,清,10,高,中,西湖名人故事话本，白蛇苏小等故事佳
诗藏,大唐三藏取经诗话,话本拟话本,宋,3,高,中,西游记雏形，取经故事源头价值高
集藏,三国志平话,话本拟话本,元,13,高,中,三国演义祖本，讲史价值高
集藏,包公案之百家公案,话本拟话本,明,17,高,中,包公案早期版本，公案经典
集藏,十二楼,话本拟话本,清,21,高,中,李渔拟话本，构思精巧可读性强
集藏,峥霄馆评定通俗演义型世言,话本拟话本,明,32,高,中,型世言明代拟话本，新发现价值高
集藏,敦煌变文选,话本拟话本,隋唐,16,高,中,敦煌变文，白话文学源头价值高
集藏,无声戏,话本拟话本,清,8,高,中,李渔白话短篇集，机智好读
集藏,清平山堂话本,话本拟话本,明,28,高,中,现存最早话本集，价值极高
集藏,石点头,话本拟话本,明,11,高,中,明代拟话本名集，故事可读
集藏,碾玉观音话本,话本拟话本,宋,2,高,中,宋话本经典名篇，文学史地位高
集藏,豆棚闲话,话本拟话本,清,4,高,中,清代拟话本佳构，结构新颖
集藏,连城壁,话本拟话本,清,15,高,中,李渔白话短篇集，机智好读
史藏,古今列女传,人物传记,明,3,中,中,明编列女故事，承刘向传统
史藏,吴耿尚孔四王全传,人物传记,清,2,中,中,三藩等降王传，史事有戏剧性
史藏,嘉靖以来首辅传,人物传记,明,2,中,中,王世贞记明朝首辅，政争有看点
史藏,奴才小史,人物传记,民国,3,中,中,讽刺历代权奸佞臣，有话题性
史藏,宋名臣言行录,人物传记,宋,51,中,中,朱熹辑名臣言行，故事性尚可
史藏,轩辕黄帝传,人物传记,宋,2,中,中,记黄帝神话事迹，始祖传说有趣
史藏,高士传,人物传记,魏晋南北朝,4,中,中,古隐士传记，雅致但偏小众
道藏,列仙传,人物传记,汉,3,中,中,古老仙传有趣味，但偏专门
道藏,列仙传,人物传记,汉,4,中,中,古老仙传有趣味，但偏专门
道藏,吕祖全传,人物传记,清,10,中,中,吕洞宾知名度高，但宗教色彩浓
道藏,墉城集仙录,人物传记,隋唐,3,中,中,女仙传记汇编，杜光庭撰有趣味
道藏,神仙传,人物传记,魏晋南北朝,4,中,中,葛洪仙传，故事有趣偏专门
道藏,长春真人西游记,人物传记,元,1,中,中,丘处机西行实录，史料有趣味偏专门
集藏,全相二十四孝诗选,人物传记,元,3,中,中,二十四孝题材，知名度高说教味重
佛藏,二十四尊得道罗汉传,佛教故事,明,7,中,中,罗汉故事有民俗趣味，知名度中等
佛藏,佛说九鹿经,佛教故事,魏晋南北朝,1,中,中,九鹿本生异本，故事性强
佛藏,佛说地藏菩萨发心因缘十王经,佛教故事,隋唐,1,中,中,十王地狱说，影响民俗信仰
佛藏,佛说弥勒下生成佛经,佛教故事,隋唐,1,中,中,弥勒下生说，民俗信仰有名
佛藏,佛说弥勒下生成佛经-唐-义净,佛教故事,隋唐,3,中,中,弥勒下生说，民俗信仰有名
佛藏,佛说弥勒下生经,佛教故事,魏晋南北朝,1,中,中,弥勒下生说，民俗信仰有名
佛藏,佛说弥勒大成佛经,佛教故事,魏晋南北朝,2,中,中,弥勒成佛说，信仰知名度中
佛藏,佛说报恩奉盆经,佛教故事,魏晋南北朝,1,中,中,盂兰盆相关，关联中元民俗
佛藏,佛说摩邓女经,佛教故事,魏晋南北朝,1,中,中,摩登伽女恋阿难，故事性强较知名
佛藏,佛说箭喻经,佛教故事,魏晋南北朝,1,中,中,毒箭喻著名譬喻，思想性强
